NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
124,오필리아,클레어 맥카시,,그린나래미디어(주),(주)홈초이스,2021-07-,개봉영화,장편,미국,117.0,,34.0,,4.0,멜로/로맨스,15세이상관람가,독립/예술영화
125,와인 패밀리,숀 시스터나,,해피송,해피송,2021-07-,개봉영화,장편,캐나다,35.0,,33.0,,15.0,드라마,12세이상관람가,독립/예술영화
126,암살자들,,,주식회사 더쿱,"주식회사 왓챠,주식회사 더쿱",2021-08-,개봉영화,장편,미국,39.0,,27.0,,24.0,다큐멘터리,15세이상관람가,독립/예술영화
127,숲의 비명 : 사라진 사람들,전혜림,"(주)트리필름,(주)포레스트필름",,(주)트리필름,2021-08-,개봉영화,장편,한국,6.0,,24.0,,24.0,공포(호러),15세이상관람가,독립/예술영화
128,디스 아메리카노,권유주,주식회사 씨엠닉스,,주식회사 씨엠닉스,2021-09-,개봉영화,장편,한국,1.0,,22.0,,22.0,드라마,15세이상관람가,독립/예술영화
129,레드 아워,,,(주)올스타엔터테인먼트,(주)올스타엔터테인먼트,2021-09-,개봉영화,장편,미국,2.0,,22.0,,16.0,액션,15세이상관람가,일반영화
130,트립 투 그리스,마이클 윈터바텀,,찬란,"찬란,하이, 스트레인저",2021-07-,개봉영화,장편,영국,48.0,,22.0,0.0,0.0,코미디,15세이상관람가,독립/예술영화
131,공손한 마님의 음란한 저택,아사기리 키요시,,,(주)씨맥스커뮤니케이션즈,2021-09-,개봉영화,장편,일본,1.0,,20.0,0.0,0.0,드라마,청소년관람불가,일반영화
132,광기 어린 섹스,강현성,(주)샤이커뮤니케이션즈,,(주)샤이커뮤니케이션즈,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
133,국제불륜,이정훈,(주)담화,,(주)담화,2021-09-,개봉영화,장편,한국,1.0,,20.0,0.0,0.0,성인물(에로),청소년관람불가,일반영화
