NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1.0,파묘,장재현,"(주)쇼박스,(주)엠씨엠씨",,(주)쇼박스,20240222.0,개봉영화,장편,한국,2355.0,35074828666.0,3697250.0,8500054021.0,873434.0,미스터리,15세이상관람가,일반영화
2.0,웡카,폴 킹,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240131.0,개봉영화,장편,미국,1753.0,28559235141.0,2943400.0,8372668173.0,827033.0,판타지,전체관람가,일반영화
3.0,시민덕희,박영주,"(주)씨제스엔터테인먼트,페이지원필름(주)",,(주)쇼박스,20240124.0,개봉영화,장편,한국,1272.0,9958956001.0,1038456.0,1854503017.0,190172.0,드라마,15세이상관람가,일반영화
4.0,건국전쟁,김덕영,다큐스토리,,다큐스토리,20240201.0,개봉영화,장편,한국,224.0,9619800158.0,1031018.0,2831349360.0,304291.0,다큐멘터리,12세이상관람가,일반영화
5.0,"귀멸의 칼날: 인연의 기적, 그리고 합동 강화 훈련으로",소토자키 하루오,,애니맥스 브로드캐스팅 코리아 유한회사,씨제이 씨지브이(CJ CGV)(주),20240214.0,개봉영화,장편,일본,393.0,4901269600.0,426871.0,1269705100.0,100125.0,애니메이션,15세이상관람가,일반영화
6.0,도그데이즈,김덕민,(주)씨제이이엔엠,,(주)씨제이이엔엠,20240207.0,개봉영화,장편,한국,847.0,3467851608.0,356139.0,834193314.0,82105.0,드라마,12세이상관람가,일반영화
7.0,소풍,김용균,(주)로케트필름,,롯데컬처웍스(주)롯데엔터테인먼트,20240207.0,개봉영화,장편,한국,729.0,2801447020.0,312731.0,690619570.0,77334.0,드라마,12세이상관람가,독립/예술영화
8.0,듄: 파트2,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),20240228.0,개봉영화,장편,미국,1544.0,2799033113.0,268510.0,1036089083.0,92188.0,액션,12세이상관람가,일반영화
9.0,데드맨,하준원,"(주)팔레트픽처스,(주)사람엔터테인먼트",,플러스엠 엔터테인먼트,20240207.0,개봉영화,장편,한국,800.0,2257288704.0,236624.0,514590306.0,52144.0,범죄,15세이상관람가,일반영화
10.0,아가일,매튜 본,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20240207.0,개봉영화,장편,미국,841.0,1421458457.0,138833.0,555631757.0,51354.0,액션,12세이상관람가,일반영화
11.0,아기상어 극장판: 사이렌 스톤의 비밀,,,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),20240207.0,개봉영화,장편,미국,578.0,878995204.0,99452.0,176471289.0,19371.0,애니메이션,전체관람가,독립/예술영화
12.0,외계+인 2부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,20240110.0,개봉영화,장편,한국,1390.0,774436918.0,80347.0,168512276.0,16671.0,기타,12세이상관람가,일반영화
13.0,추락의 해부,쥐스틴 트리에,,그린나래미디어(주),(주)스튜디오디에이치엘,20240131.0,개봉영화,장편,프랑스,236.0,719629983.0,72886.0,428836498.0,42433.0,드라마,15세이상관람가,독립/예술영화
14.0,서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,20231122.0,개봉영화,장편,한국,2328.0,586214802.0,64667.0,160878188.0,17097.0,드라마,12세이상관람가,일반영화
15.0,정글번치: 월드투어,,,(주)퍼스트런,(주)무비다이브,20240131.0,개봉영화,장편,프랑스,193.0,414940600.0,49908.0,57373000.0,7073.0,애니메이션,전체관람가,독립/예술영화
16.0,위시,"크리스 벅,폰 비라선손",,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20240103.0,개봉영화,장편,미국,1421.0,431697343.0,46801.0,88049708.0,9070.0,애니메이션,전체관람가,일반영화
17.0,사운드 오브 프리덤,알레한드로 고메즈 몬테베르드,,(주)콘텐츠판다,(주)넥스트엔터테인먼트월드(NEW),20240221.0,개봉영화,장편,미국,248.0,426112900.0,38674.0,135017000.0,12909.0,범죄,15세이상관람가,일반영화
18.0,괴물,고레에다 히로카즈,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),20231129.0,개봉영화,장편,일본,647.0,338414769.0,33440.0,221376982.0,21345.0,드라마,12세이상관람가,독립/예술영화
19.0,인투 더 월드,벤자민 레너,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20240110.0,개봉영화,장편,미국,839.0,282759961.0,32074.0,47462185.0,5027.0,애니메이션,전체관람가,일반영화
20.0,신차원! 짱구는 못말려 더 무비 초능력 대결전 ~날아라 수제김밥~,오네 히토시,,(주)씨제이이엔엠,(주)씨제이이엔엠,20231222.0,개봉영화,장편,일본,883.0,252660276.0,26362.0,30110097.0,3043.0,애니메이션,전체관람가,일반영화
21.0,DMZ 동물 특공대,홍인표,자루 스튜디오,,(주)박수엔터테인먼트,20240214.0,개봉영화,장편,한국,201.0,158671520.0,21445.0,32221000.0,4478.0,애니메이션,전체관람가,일반영화
22.0,바튼 아카데미,알렉산더 페인,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20240221.0,개봉영화,장편,미국,254.0,200754118.0,21229.0,114128623.0,11737.0,코미디,15세이상관람가,독립/예술영화
23.0,스노우 퍼핀즈,,,에이케이엔터테인먼트(주),(주)팝엔터테인먼트,20240215.0,개봉영화,장편,스페인,315.0,170350063.0,20478.0,31861095.0,3776.0,애니메이션,전체관람가,일반영화
24.0,청춘 돼지는 책가방 소녀의 꿈을 꾸지 않는다,마스이 소이치,,(주)애니플러스,(주)애니플러스,20240201.0,개봉영화,장편,일본,84.0,173337195.0,18409.0,64015679.0,6239.0,애니메이션,12세이상관람가,일반영화
25.0,우견니,루오 루오,,오드,"오드,홀리가든",20240214.0,개봉영화,장편,중국,143.0,138361432.0,17667.0,43828700.0,5579.0,멜로/로맨스,12세이상관람가,일반영화
26.0,기적의 시작,권순도,퓨어웨이픽쳐스,,퓨어웨이픽쳐스,20240222.0,개봉영화,장편,한국,137.0,136968196.0,15220.0,46225356.0,5478.0,다큐멘터리,12세이상관람가,독립/예술영화
27.0,비욘드 유토피아,매들린 개빈,,(주)드림팩트엔터테인먼트,"(주)홈초이스,(주)드림팩트엔터테인먼트,(주)스마일이엔티",20240131.0,개봉영화,장편,미국,158.0,121570065.0,12619.0,45216267.0,4683.0,다큐멘터리,12세이상관람가,독립/예술영화
28.0,월레스와 그로밋 더 클래식 컬렉션,닉 파크,아드만 애니메이션즈,,CGV ICECON,20240221.0,개봉영화,장편,영국,52.0,180775500.0,12075.0,78055500.0,5207.0,애니메이션,전체관람가,일반영화
29.0,극장판 츠루네: 시작의 한 발,야마무라 타쿠야,,(주)미디어캐슬,(주)라이크콘텐츠,20240221.0,개봉영화,장편,일본,119.0,108776565.0,12039.0,40152042.0,4118.0,애니메이션,전체관람가,독립/예술영화
30.0,노량: 죽음의 바다,김한민,(주)빅스톤픽쳐스,,"롯데컬처웍스(주)롯데엔터테인먼트,(주)에이스메이커무비웍스",20231220.0,개봉영화,장편,한국,2196.0,112946475.0,11890.0,33585119.0,3382.0,사극,12세이상관람가,일반영화
31.0,길위에 김대중,민환기,"(주)명필름,(주)시네마6411",,"(주)아이오케이컴퍼니,(주)명필름,(주)시네마6411",20240110.0,개봉영화,장편,한국,414.0,100845417.0,11356.0,39504830.0,4358.0,다큐멘터리,12세이상관람가,독립/예술영화
32.0,플랜 75,하야카와 치에,,찬란,찬란,20240207.0,개봉영화,장편,일본,50.0,103916566.0,11217.0,64881877.0,6635.0,드라마,15세이상관람가,독립/예술영화
33.0,지오디 마스터피스 더 무비,손석,,,씨제이 씨지브이(CJ CGV)(주),20240110.0,개봉영화,장편,한국,75.0,217761000.0,9675.0,131412500.0,5825.0,공연,전체관람가,일반영화
34.0,에스파: 마이 퍼스트 페이지,"김지선,조현정",(주)에스엠엔터테인먼트,,"롯데컬처웍스(주)롯시플,(주)영화사 그램",20240214.0,개봉영화,장편,한국,68.0,200244000.0,9024.0,106137000.0,4909.0,공연,전체관람가,일반영화
35.0,아네모네,정하용,주식회사 시네마천국,,㈜인디스토리,20240207.0,개봉영화,장편,한국,57.0,63897351.0,7645.0,34255895.0,3987.0,코미디,15세이상관람가,독립/예술영화
36.0,나의 올드 오크,켄 로치,,(주)영화사 진진,(주)영화사 진진,20240117.0,개봉영화,장편,아일랜드,83.0,65962495.0,7218.0,46765095.0,4805.0,드라마,15세이상관람가,독립/예술영화
37.0,영화 스미코구라시 - 푸른 달밤의 마법의 아이,오오모리 타카히로,,(주)미디어캐슬,(주)미디어캐슬,20240207.0,개봉영화,장편,일본,106.0,52157720.0,6383.0,22026360.0,2650.0,애니메이션,전체관람가,독립/예술영화
38.0,크레센도 반 클라이번 콩쿠르 실황,헤더 윌크,,오드,오드,20240131.0,개봉영화,장편,미국,65.0,110017000.0,5696.0,57131500.0,2902.0,공연,전체관람가,일반영화
