NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1.0,서울의 봄,김성수,(주)하이브미디어코프,,플러스엠 엔터테인먼트,20231122.0,개봉영화,장편,한국,2328.0,27670064459.0,2952902.0,6582857139.0,682126.0,드라마,12세이상관람가,일반영화
2.0,그대들은 어떻게 살 것인가,미야자키 하야오,,대원미디어(주),메가박스중앙(주),20231025.0,개봉영화,장편,일본,1733.0,8858779363.0,903088.0,2821389621.0,277689.0,애니메이션,전체관람가,독립/예술영화
3.0,더 마블스,니아 다코스타,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20231108.0,개봉영화,장편,미국,1532.0,6807601786.0,686976.0,1913020068.0,179688.0,액션,12세이상관람가,일반영화
4.0,프레디의 피자가게,엠마 타미,유니버설픽쳐스인터내셔널 코리아(유),,유니버설픽쳐스인터내셔널 코리아(유),20231115.0,개봉영화,장편,미국,1041.0,5706230228.0,587136.0,945127463.0,93762.0,공포(호러),12세이상관람가,일반영화
5.0,소년들,정지영,"(주)아우라픽처스,(주)씨제이이엔엠",,(주)씨제이이엔엠,20231101.0,개봉영화,장편,한국,1042.0,4297375469.0,452168.0,859850097.0,87987.0,드라마,15세이상관람가,일반영화
6.0,30일,남대중,(주)영화사울림,,(주)마인드마크,20231003.0,개봉영화,장편,한국,1226.0,2761079249.0,283824.0,679303581.0,68419.0,코미디,12세이상관람가,일반영화
7.0,톡 투 미,"대니 필리푸,마이클 필리푸",,(주)더쿱디스트리뷰션,"주식회사 올랄라스토리,롯데컬처웍스(주)롯데시네마",20231101.0,개봉영화,장편,호주,604.0,1740472720.0,184095.0,557059812.0,59136.0,공포(호러),15세이상관람가,독립/예술영화
8.0,헝거게임: 노래하는 새와 뱀의 발라드,프란시스 로렌스,,(주)누리픽쳐스,(주)누리픽쳐스,20231115.0,개봉영화,장편,미국,986.0,1737857269.0,177597.0,628046017.0,60623.0,액션,15세이상관람가,일반영화
9.0,싱글 인 서울,박범수,"(주)디씨지플러스,(주)명필름,(주)인사이트필름",,롯데컬처웍스(주)롯데엔터테인먼트,20231129.0,개봉영화,장편,한국,917.0,864469381.0,101741.0,356638082.0,39323.0,멜로/로맨스,12세이상관람가,일반영화
10.0,뉴 노멀,정범식,언파스튜디오,,(주)바이포엠스튜디오,20231108.0,개봉영화,장편,한국,546.0,970111123.0,101047.0,307721809.0,31506.0,스릴러,15세이상관람가,일반영화
11.0,용감한 시민,박진표,"스튜디오엔(주),볼미디어(주)",,(주)마인드마크,20231025.0,개봉영화,장편,한국,887.0,587779643.0,64528.0,95055041.0,10336.0,액션,15세이상관람가,일반영화
12.0,괴물,고레에다 히로카즈,,(주)미디어캐슬,(주)넥스트엔터테인먼트월드(NEW),20231129.0,개봉영화,장편,일본,647.0,544065383.0,62624.0,237276581.0,26774.0,드라마,12세이상관람가,독립/예술영화
13.0,스노우 폭스: 썰매개가 될 거야!,아론 우들리,,(주)히스토리필름,(주)팝엔터테인먼트,20231123.0,개봉영화,장편,미국,479.0,455052537.0,53950.0,64532876.0,7301.0,애니메이션,전체관람가,독립/예술영화
14.0,블루 자이언트,타치카와 유즈루,,판씨네마(주),판씨네마(주),20231018.0,개봉영화,장편,일본,574.0,406152995.0,44953.0,237148126.0,25478.0,애니메이션,12세이상관람가,독립/예술영화
15.0,이빨요정 비올레타: 요정나라로 돌아갈래!,,,찬란,TCO(주)더콘텐츠온,20231118.0,개봉영화,장편,독일,298.0,371032400.0,44866.0,56179700.0,7041.0,애니메이션,전체관람가,독립/예술영화
16.0,더 와일드: 야수들의 전쟁,김봉한,"(주)아센디오,(주)제이앤씨미디어그룹",,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오",20231115.0,개봉영화,장편,한국,239.0,360949000.0,41260.0,69889400.0,8528.0,액션,청소년관람불가,일반영화
17.0,1947 보스톤,강제규,"(주)비에이엔터테인먼트,(주)빅픽쳐",,"롯데컬처웍스(주)롯데엔터테인먼트,(주)콘텐츠지오,주식회사 에이투지엔터테인먼트",20230927.0,개봉영화,장편,한국,1282.0,230262218.0,32078.0,51762458.0,7150.0,드라마,12세이상관람가,일반영화
18.0,플라워 킬링 문,마틴 스코세이지,,,롯데컬처웍스(주)롯데엔터테인먼트,20231019.0,개봉영화,장편,미국,719.0,302488664.0,31473.0,164231214.0,16836.0,범죄,청소년관람불가,일반영화
19.0,테일러 스위프트 디 에라스 투어,,,,씨제이포디플렉스 주식회사,20231103.0,개봉영화,장편,미국,51.0,839042500.0,30232.0,508597000.0,18444.0,공연,전체관람가,일반영화
20.0,비투비 타임 : 비투게더 더 무비,,,,(주)케이티알파,20231115.0,개봉영화,장편,한국,32.0,575437500.0,28775.0,279758000.0,13990.0,공연,전체관람가,일반영화
21.0,여귀교- 저주를 부르는 게임,해악륭,,(주)퍼스트런,"메가박스중앙(주),(주)스튜디오 산타클로스엔터테인먼트,(주)블레이드이엔티",20231115.0,개봉영화,장편,대만,401.0,252061027.0,27632.0,59900796.0,6604.0,공포(호러),15세이상관람가,일반영화
22.0,마이 샤이니 월드,이후빈,"플러스엠 엔터테인먼트,(주)에스엠엔터테인먼트",,메가박스중앙(주),20231103.0,개봉영화,장편,한국,118.0,528240000.0,23450.0,278459000.0,12357.0,공연,전체관람가,일반영화
23.0,퍼피 구조대: 더 마이티 무비,캘런 브런커,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20231006.0,개봉영화,장편,미국,566.0,181664859.0,22523.0,22092510.0,2647.0,애니메이션,전체관람가,일반영화
24.0,사채소년,황동석,(주)26컴퍼니,,영화사빅,20231122.0,개봉영화,장편,한국,211.0,159695100.0,20786.0,63302100.0,8031.0,액션,15세이상관람가,일반영화
25.0,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,20230308.0,개봉영화,장편,일본,1486.0,160560497.0,18917.0,48856000.0,5659.0,애니메이션,12세이상관람가,독립/예술영화
26.0,어른 김장하,김현지,MBC경남,,(주)시네마달,20231115.0,개봉영화,장편,한국,98.0,154292196.0,18008.0,57719186.0,6805.0,다큐멘터리,전체관람가,독립/예술영화
27.0,시뮬런트,,,,(주)영화특별시에스엠씨,20231102.0,개봉영화,장편,미국,265.0,147734774.0,17580.0,52906632.0,6089.0,SF,15세이상관람가,일반영화
28.0,바람 따라 만나리 : 김호중의 계절,오윤동,씨제이포디플렉스 주식회사,,"씨제이포디플렉스 주식회사,CGV ICECON",20231018.0,개봉영화,장편,한국,78.0,327446500.0,15665.0,131330000.0,6329.0,공연,전체관람가,일반영화
29.0,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,니시키오리 히로시,,메가박스중앙(주),메가박스중앙(주),20231019.0,개봉영화,장편,일본,78.0,122012723.0,15335.0,76207140.0,9459.0,애니메이션,전체관람가,일반영화
30.0,너와 나,조현철,주식회사 필름영,,"주식회사 필름영,그린나래미디어(주)",20231025.0,개봉영화,장편,한국,76.0,146980377.0,15278.0,117262449.0,11783.0,드라마,12세이상관람가,독립/예술영화
31.0,키리에의 노래,이와이 슌지,,(주)미디어캐슬,이화배컴퍼니(주),20231101.0,개봉영화,장편,일본,248.0,119450743.0,13514.0,64174847.0,6865.0,드라마,15세이상관람가,독립/예술영화
32.0,원 모어 찬스,반요명,,,(주)팝엔터테인먼트,20231101.0,개봉영화,장편,중국,121.0,80597900.0,13048.0,24001900.0,3893.0,드라마,12세이상관람가,일반영화
33.0,마브카 : 숲의 노래,올레말라므,,(주)히스토리필름,(주)팝엔터테인먼트,20231018.0,개봉영화,장편,우크라이나,489.0,101560084.0,12891.0,8355377.0,928.0,애니메이션,전체관람가,독립/예술영화
34.0,극장판 파워 디지몬 더 비기닝,타구치 토모히사,,에스엠지홀딩스 주식회사,에스엠지홀딩스 주식회사,20231129.0,개봉영화,장편,일본,197.0,108405400.0,12505.0,35362000.0,4234.0,애니메이션,12세이상관람가,일반영화
35.0,녹야,한슈아이,,(주)퍼스트런,(주)스튜디오디에이치엘,20231101.0,개봉영화,장편,홍콩,137.0,95447200.0,12049.0,50455700.0,5910.0,드라마,15세이상관람가,독립/예술영화
36.0,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 1,니시키오리 히로시,,메가박스중앙(주),메가박스중앙(주),20231019.0,개봉영화,장편,일본,79.0,90496258.0,11859.0,53880199.0,7003.0,애니메이션,전체관람가,일반영화
37.0,세계를 뒤흔든 43일,이규철,㈜콘텐츠 핏,,"(주)드림팩트엔터테인먼트,(주)빅브라더스",20231116.0,개봉영화,장편,한국,35.0,116878039.0,11663.0,39868339.0,4002.0,다큐멘터리,전체관람가,독립/예술영화
38.0,괴인,이정홍,영화 <괴인> 제작위원회,,(주)영화사 진진,20231108.0,개봉영화,장편,한국,79.0,89603852.0,11102.0,59208748.0,6894.0,드라마,15세이상관람가,독립/예술영화
39.0,빌리와 용감한 녀석들: 황금 달걀 구조대,"가브리엘 리바 팔라시오 알라트리스테,로돌포 리바 팔라시오 알라트리스테",,(주)박수엔터테인먼트,(주)박수엔터테인먼트,20231026.0,개봉영화,장편,멕시코,306.0,86291747.0,10784.0,4421400.0,564.0,애니메이션,전체관람가,독립/예술영화
40.0,만분의 일초,김성환,한국영화아카데미,,(주)더쿱디스트리뷰션,20231115.0,개봉영화,장편,한국,74.0,80529528.0,10653.0,40875559.0,5116.0,액션,12세이상관람가,독립/예술영화
41.0,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230104.0,개봉영화,장편,일본,1023.0,89318666.0,9958.0,35293341.0,3500.0,애니메이션,12세이상관람가,일반영화
42.0,금의 나라 물의 나라,와타나베 코토노,,(주)도키엔터테인먼트,(주)이놀미디어,20231115.0,개봉영화,장편,일본,141.0,59282770.0,8326.0,25100690.0,3524.0,애니메이션,전체관람가,독립/예술영화
43.0,화란,김창훈,(주)사나이픽처스,,플러스엠 엔터테인먼트,20231011.0,개봉영화,장편,한국,976.0,47662882.0,8015.0,15409496.0,2528.0,드라마,15세이상관람가,일반영화
44.0,빅슬립,김태훈,CINEBUS,,찬란,20231122.0,개봉영화,장편,한국,61.0,54981397.0,7588.0,32172567.0,4020.0,드라마,15세이상관람가,독립/예술영화
45.0,나의 피투성이 연인,유지영,"컴플렉스필름,㈜인디스토리",,"(주)디오시네마,㈜인디스토리",20231115.0,개봉영화,장편,한국,45.0,60888908.0,7315.0,31395878.0,3711.0,드라마,12세이상관람가,독립/예술영화
46.0,다이브: 100 피트 추락,맥시밀리언 엘렌와인,,(주)도키엔터테인먼트,와이드 릴리즈(주),20231108.0,개봉영화,장편,독일,109.0,58563123.0,6776.0,25230143.0,2883.0,스릴러,12세이상관람가,독립/예술영화
47.0,극장판 우당탕탕 은하안전단: 진정한 용기!,정지훈,(주)마로스튜디오,,(주)넥스트엔터테인먼트월드(NEW),20231130.0,개봉영화,장편,한국,261.0,49444890.0,6653.0,18302390.0,2539.0,애니메이션,전체관람가,일반영화
48.0,명탐정코난: 흑철의 어영,타치카와 유즈루,,(주)씨제이이엔엠,(주)씨제이이엔엠,20230720.0,개봉영화,장편,일본,1030.0,59979884.0,6166.0,25107134.0,2503.0,애니메이션,12세이상관람가,일반영화
49.0,오픈 더 도어,장항준,㈜컨텐츠랩 비보,,"(주)콘텐츠판다,(주)비에이엔터테인먼트",20231025.0,개봉영화,장편,한국,213.0,48328000.0,5246.0,28405900.0,2755.0,미스터리,15세이상관람가,일반영화
50.0,약속,민병훈,(주)민병훈필름,,엠라인디스트리뷰션(주),20231101.0,개봉영화,장편,한국,42.0,41773208.0,4919.0,25185078.0,2750.0,다큐멘터리,전체관람가,독립/예술영화
51.0,수라,황윤,"스튜디오두마,미디어나무(주)",,"스튜디오두마,미디어나무(주),스튜디오 에이드",20230621.0,개봉영화,장편,한국,136.0,38833000.0,4776.0,12309000.0,1402.0,다큐멘터리,전체관람가,독립/예술영화
52.0,더 킬러,데이빗 핀처,,,씨제이 씨지브이(CJ CGV)(주),20231025.0,개봉영화,장편,미국,78.0,33370400.0,3988.0,20214900.0,2282.0,스릴러,15세이상관람가,일반영화
53.0,극장판 엉덩이 탐정: 미스터리 가면 ~최강의 대결,,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),20230928.0,개봉영화,장편,일본,601.0,24910767.0,3424.0,5389500.0,705.0,애니메이션,전체관람가,일반영화
