순위,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
3197,택시운전사,2017-08-02,683500 ,0.00%,95872237149 ,86 ,12189784 ,4 ,19 ,한국,한국,더램프(주),(주)쇼박스,15세이상관람가,드라마,장훈,"이수민,송강호,토마스 크레취만,유해진,류준열,박혁권,최귀화,이창섭,이호균,송병철,안용우,오석규,윤석진,이새별,이성호,이정은,이주영,황민형,김신웅,김진상,김화목,차순배,김대현,서현우,이봉련,홍완표,문광식,류성현,백인권,허정도,손경원,한사명,한이진,송지언"
2,서울의 봄,2023-11-22,115350491410 ,4.80%,115350491410 ,11854779 ,11854779 ,2463 ,292299 ,한국,한국,(주)하이브미디어코프,플러스엠 엔터테인먼트,12세이상관람가,드라마,김성수,"황정민,정우성,이성민,박해준,김성균,김의성,정동환,안내상,유성주,최병모,박훈,이재윤,김성오,남윤호,홍서준,안세호,정형석,박정학,박원상,박민이,염동헌,전진기,차래형,공재민,권혁,한창현,송영근,전수지,서광재,임철형,현봉식,곽자형,전운종,이승희,김기무,문성복,김옥주,박정표,곽진석,한규원,우미화,차건우,최원경,정만식,정해인,이준혁,이귀우,우아름,김지원,최기동,양영문"
2490,부산행,2016-07-20,773000 ,0.00%,93188170548 ,154 ,11567816 ,1 ,5 ,한국,한국,(주)영화사레드피터,(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,"액션,스릴러",연상호,"공유,김정희,정유미,김율호,이주원,이영욱,마동석,김찬호,김운,전범준,최우식,안소희,김의성,김수안,박민우,박민혁,임종훈,박종관,장문성,박혜진,손지훈,손지훈,연상호,조춘호,지동현,윤미중,이동하,이윤상,최창수,편준의,허성우,황유경,최용훈,김근영,이주실,예수정,김대현,한지은,박명신,이육헌,김시우,백인권,차청화,류성록,주광현,김태윤"
1961,변호인,2013-12-18,1965000 ,0.00%,82876713788 ,276 ,11375399 ,1 ,6 ,한국,한국,위더스필름(주),(주)넥스트엔터테인먼트월드(NEW),15세이상관람가,드라마,양우석,"송강호,김영애,오달수,곽도원,임시완,송영창,정원중,조민기,이항나,이성민,차광수,한기중,심희섭,김동현,조완기,차은재,최주희,주명철,조선묵,유하복,김봉환,지건우,최은석,최현,최정현,박상현,신안진,조기왕,조유신,이선희,장리우,정준원,이정은,이진희,민경옥,정성화,박성근,신승용,김찬이,원호섭,윤탁,한승도,조용준,정재민,권오진,이설구,노영하,장우진,이해성,김승태,신욱,황건,권영국,양명헌,정원조,윤준호,이호원,설창희,홍도성,김형석,김호진,양정인,이동현,이정건,김리후,육미옥,김호연,백성식,김선주,김가영,이준기,이형은,김서영,오병남,전광진,조현덕,김경인,이상호,김성민,류수영,박수영,이경인,최태환,김서영,이현정,설창희,양도현"
2465,해운대,2009-07-22,795000 ,0.00%,81028720000 ,159 ,11325117 ,1 ,3 ,한국,한국,(주)제이케이필름,CJ ENM,12세이상관람가,"액션,드라마,어드벤처",윤제균,"설경구,하지원,박중훈,엄정화,이민기,강대규,김원영,김유빈,신정원,성유경,박재홍,황인준,나승현,김인호,근휘,김재경,장원준,임동우,김정곤,정종원,이지애,이태영,최재섭,장명갑,지대한,천보근,박영수,염동헌,주민하,강예원,손희순,변상윤"
1,파묘,2024-02-22,105793324208 ,35.10%,105793324208 ,10957291 ,10957291 ,2367 ,284420 ,한국,한국,(주)쇼박스,(주)쇼박스,15세이상관람가,"미스터리,공포(호러)",장재현,"최민식,김고은,유해진,이도현,김재철,김민준,김병오,전진기,박정자,박지일,이종구,이영란,정상철,김지안,김태준,김서현,송광자,최문경,김선영,이다윗,김소숙,정윤하,설승혜,홍서준,안태영,최정화,이아연,심소연,한미자,현지인,이경민,한동희,이정현,설창희,황유나,윤재인,김희상,선인호,백승철,윤종구,박종원,임호준,김진욱,류한선,박태양,이은경,박진영,홍석빈,한혜지,박재완,윤정훈,최교식,이지현,정예서,이은주,은수,장의돈,주광현,박용,신무호,김이석,김선동,한동균,박예빈,윤수진,정승기,강일웅,김영주,오보혜,고영규,선인호,전형규,이태운,임예은,최낙윤,정무성,진대연,송나영,유한솔,김하영"
3,아바타: 물의 길,2022-12-14,137647702899 ,5.70%,137647702899 ,10805065 ,10805065 ,2809 ,283037 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,12세이상관람가,"액션,어드벤처,SF,스릴러",제임스 카메론,"조 샐다나,샘 워싱턴,시고니 위버,스티븐 랭,케이트 윈슬렛"
4,범죄도시3,2023-05-31,104687737771 ,4.30%,104687737771 ,10682813 ,10682813 ,2582 ,311915 ,한국,한국,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트","주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",15세이상관람가,"범죄,액션",이상용,"정호진,마동석,황순명,이준혁,아오키 무네타카,이범수,김민재,이지훈,김도건,고규필,전석호,안세호,한규원,최우준,최동구,이세호,이태규,배누리,최광제,심영은,김기호,고건한,신현용,쿠니무라 준,박지환,윤상돈,김지수,박혜영,마동석,강윤,홍준영,류성현,유인혁,김원경,박상원,공대유,박준혁,공경배,김민,최원석,송이우,주혁,전아희,손지영,차재현,연예림,이혜지,박상남,이재성,이재혁,서문호,한기장,손인용,정미형,최춘범,이진한,김태윤,백남준,박태산,이충구,김소원,강희제,강한별,홍이주,배소영,서영진,손태오,남지우,신혜선,주예은,채건희,이정환,심하늘,김리우,장용희,최현도,김다솔,이명로,정우탁,정현옥,여성환,김영조,문경린,이형석,이찬희,김우현,류한종,손종복,이진희,김민준,이윤석,정수원,조국형,박현석,김민수,최광덕,이상원,임소현,이한솔,홍상우,정무성,강하나,최태주,김주희,손승훈,이문빈,정규영,전민정,임연빈,이호철,이동호,김병탁,김세중"
1596,어벤져스: 에이지 오브 울트론,2015-04-23,5384400 ,0.00%,88645598646 ,480 ,10504487 ,2 ,34 ,미국,미국,,"월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아(주)",12세이상관람가,"액션,어드벤처,판타지,SF",조스 웨던,"로버트 다우니 주니어,크리스 헴스워스,마크 러팔로,크리스 에반스,스칼렛 요한슨,제레미 레너,돈 치들,애론 테일러 존슨,엘리자베스 올슨,폴 베타니,코비 스멀더스,제임스 스페이더,사무엘 L. 잭슨,수현"
380,인터스텔라,2014-11-06,235407500 ,0.00%,83072616000 ,16283 ,10342523 ,20 ,350 ,미국,"미국,영국",,워너브러더스 코리아(주),12세이상관람가,SF,크리스토퍼 놀란,"매튜 매커너히,앤 해서웨이,마이클 케인,제시카 차스테인,케이시 애플렉"
