순위,영화명,개봉일,매출액,매출액,누적매출액,관객수,누적관객수,스크린수,상영횟수,대표국적,국적,제작사,배급사,등급,장르,감독,배우
5756,사랑은 언제나 진행중,2010-03-11,41000 ,0.00%,382883500 ,3 ,51365 ,1 ,2 ,미국,미국,필름 디파트먼트,(주)시너지하우스 (시너지),15세이상관람가,"코미디,멜로/로맨스",바트 프룬디치,"캐서린 제타-존스,저스틴 바사"
2058,폴란드로 간 아이들,2018-10-31,1774000 ,0.00%,391432800 ,244 ,51331 ,1 ,5 ,한국,한국,보아스필름,커넥트픽쳐스(주),전체관람가,"다큐멘터리,드라마",추상미,"이송,강동완,김나영,김미나,김새롬,이석준,이온유,이혜경,추상미,추상미"
240,마브카 : 숲의 노래,2023-10-18,432049154 ,0.00%,432049154 ,51120 ,51120 ,489 ,4143 ,우크라이나,"우크라이나,미국",,(주)팝엔터테인먼트,전체관람가,"애니메이션,어드벤처",올레말라므,
782,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,105000 ,0.00%,470359418 ,15 ,51007 ,1 ,1 ,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,김수경,"조경이,이소은,김새해,송하림,김채하,정혜원,여민정,황창영"
241,핑크퐁 시네마 콘서트 2: 원더스타 콘서트 대작전,2022-12-21,470254418 ,0.00%,470254418 ,50992 ,50992 ,432 ,3525 ,한국,한국,더핑크퐁컴퍼니(주),(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,김수경,"조경이,이소은,김새해,송하림,김채하,정혜원,여민정,황창영"
497,거울 속 외딴 성,2023-04-12,663000 ,0.00%,489227269 ,87 ,50772 ,1 ,8 ,일본,일본,,워터홀컴퍼니(주),12세이상관람가,"애니메이션,미스터리,판타지",하라 케이이치,"아시다 마나,키타무라 타쿠미,타카야마 미나미,미야자키 아오이"
242,거울 속 외딴 성,2023-04-12,488564269 ,0.00%,488564269 ,50685 ,50685 ,335 ,4775 ,일본,일본,,워터홀컴퍼니(주),12세이상관람가,"애니메이션,미스터리,판타지",하라 케이이치,"아시다 마나,키타무라 타쿠미,타카야마 미나미,미야자키 아오이"
5756,더 테너 리리코 스핀토,2014-12-31,3000 ,0.00%,391557441 ,3 ,50517 ,3 ,3 ,한국,한국,(주)모인그룹,"(주)박수엔터테인먼트,(주)모인그룹",12세이상관람가,드라마,김상만,"유지태,차예련,이세야 유스케,김기현"
5756,다이빙벨,2014-10-23,33000 ,0.00%,348648500 ,3 ,50313 ,1 ,1 ,한국,한국,"아시아프레스,(주)씨네포트",(주)시네마달,15세이상관람가,다큐멘터리,"이상호,안해룡","이상호,이종인"
243,애프터썬,2023-02-01,484619238 ,0.00%,484619238 ,49882 ,49882 ,64 ,3081 ,영국,영국,,"그린나래미디어(주),(주)영화사 안다미로",12세이상관람가,드라마,,폴 메스칼
2721,온리 더 브레이브,2018-03-07,964000 ,0.00%,391876300 ,120 ,49732 ,1 ,1 ,미국,미국,,㈜코리아스크린,12세이상관람가,드라마,조셉 코신스키,"조슈 브롤린,마일즈 텔러,제프 브리지스,제임스 뱃지 데일,테일러 키취,제니퍼 코넬리"
766,라스트 나잇 인 소호,2021-12-01,16463000 ,0.00%,459577840 ,3253 ,49349 ,4 ,35 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),청소년관람불가,"공포(호러),스릴러,미스터리",에드가 라이트,"토마신 맥켄지,안야 테일러 조이,맷 스미스,리타 터싱햄,테렌스 스탬프,다이아나 리그"
244,355,2022-02-09,418026590 ,0.00%,418026590 ,49098 ,49098 ,540 ,9796 ,미국,미국,,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",15세이상관람가,액션,사이먼 킨버그,"제시카 차스테인,다이앤 크루거,페넬로페 크루즈,루피타 뇽오,판빙빙"
2104,메멘토,2001-08-24,2148000 ,0.00%,366467800 ,230 ,49058 ,1 ,14 ,미국,미국,,"(주)디스테이션,(주)팝엔터테인먼트","15세관람가,15세이상관람가","미스터리,범죄,스릴러",크리스토퍼 놀란,"가이 피어스,캐리 앤 모스,조 판톨리아노"
33,아이엠 티라노,2024-03-01,412169300 ,0.10%,412169300 ,48850 ,48850 ,229 ,2504 ,중국,중국,,"주식회사 원더스튜디오,영화사빅",전체관람가,애니메이션,,
5861,저지드레드 3D,2012-12-06,2000 ,0.00%,369187000 ,2 ,48797 ,2 ,2 ,영국,영국,,롯데쇼핑㈜롯데엔터테인먼트,청소년관람불가,"SF,액션",피트 트래비스,"칼 어번,제이슨 코프,올리비아 썰비"
540,헤드윅,2002-08-09,554000 ,0.00%,386092965 ,69 ,48764 ,1 ,3 ,미국,미국,,"워너브러더스 코리아(주),(주)엣나인필름,(주)씨네월드","15세관람가,15세이상관람가",뮤지컬,존 카메론 밋첼,존 카메론 밋첼
601,헤드윅,2002-08-09,54860234 ,0.00%,385538965 ,6280 ,48695 ,59 ,799 ,미국,미국,,"워너브러더스 코리아(주),(주)엣나인필름,(주)씨네월드","15세관람가,15세이상관람가",뮤지컬,존 카메론 밋첼,존 카메론 밋첼
1247,더 파더,2021-04-07,5748500 ,0.00%,408087000 ,798 ,48612 ,2 ,31 ,영국,영국,,판씨네마(주),12세이상관람가,드라마,플로리안 젤러,"안소니 홉킨스,올리비아 콜맨,마크 게티스,올리비아 윌리엄스,이모겐 푸츠,루퍼스 스웰"
34,스즈메의 문단속: 다녀왔어,2024-01-10,464745170 ,0.20%,479475900 ,47357 ,48548 ,185 ,4353 ,일본,일본,,(주)쇼박스,12세이상관람가,애니메이션,신카이 마코토,"하라 나노카,마츠무라 호쿠토"
245,나의 히어로 아카데미아 더 무비: 월드 히어로즈 미션,2022-03-09,471826189 ,0.00%,471826189 ,48468 ,48468 ,459 ,5563 ,일본,일본,,(주)스마일이엔티,12세이상관람가,애니메이션,나가사키 켄지,
5580,송 원,2015-04-01,60000 ,0.00%,361478143 ,5 ,48401 ,1 ,2 ,미국,미국,,(주)박수엔터테인먼트,15세이상관람가,"드라마,멜로/로맨스",케이트 베커-플로이랜드,"앤 해서웨이,자니 플린"
246,세븐틴 파워 오브 러브 : 더 무비,2022-04-20,967402500 ,0.00%,967402500 ,48383 ,48383 ,151 ,2897 ,한국,한국,씨제이포디플렉스 주식회사,"씨제이포디플렉스 주식회사,CGV ICECON",전체관람가,"공연,다큐멘터리",오윤동,"에스쿱스,정한,조슈아,준,호시,원우,우지,디에잇,민규,도겸,승관,버논,디노"
247,극장판 도라에몽: 진구의 우주소전쟁 리틀스타워즈 2021,2022-08-03,446107798 ,0.00%,446107798 ,48255 ,48255 ,389 ,3734 ,일본,일본,,(주)스마일이엔티,전체관람가,애니메이션,야마구치 스스무,"윤아영,김정아,이현주,조현정,최낙윤"
248,사랑할 땐 누구나 최악이 된다,2022-08-25,487567867 ,0.00%,487567867 ,48167 ,48167 ,80 ,3105 ,노르웨이,노르웨이,,"그린나래미디어(주),(주)하이스트레인저",15세이상관람가,"멜로/로맨스,드라마",요아킴 트리에,"레나테 레인스베,앤더스 다니엘슨 라이,헤르베르트 노르드룸"
5756,매기스 플랜,2017-01-25,9000 ,0.00%,383689800 ,3 ,47858 ,1 ,1 ,미국,미국,,오드,15세이상관람가,"코미디,멜로/로맨스",레베카 밀러,"에단 호크,줄리안 무어,그레타 거윅,트래비스 핌멜,빌 헤이더,마야 루돌프"
5047,족구왕,2014-08-21,90000 ,0.00%,370943000 ,15 ,47624 ,1 ,1 ,한국,한국,광화문시네마,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),15세이상관람가,"코미디,멜로/로맨스,드라마",우문기,"안재홍,황승언,강봉성,박준식,배성윤,이환희,장민상,진태철,고봉곤,권오광,김선간,김승필,김영강,김주호,배유람,황미영,박호산,이세랑,강태우,심희섭,한지혜,한사명,임영우,곽민규,박근철"
5132,"스탠바이, 웬디",2018-05-30,117000 ,0.00%,375377580 ,13 ,47505 ,1 ,1 ,미국,미국,,판씨네마(주),전체관람가,드라마,벤 루윈,"다코타 패닝,토니 콜렛,앨리스 이브,토니 레볼로리"
4464,케빈에 대하여,2012-07-26,131000 ,0.00%,373736000 ,21 ,47334 ,1 ,1 ,영국,"영국,미국",,(주)티캐스트,청소년관람불가,"드라마,스릴러",린 램지,"틸다 스윈튼,이즈라 밀러,존 C. 레일리"
249,스파이 코드명 포춘,2023-08-30,437453701 ,0.00%,437453701 ,47004 ,47004 ,477 ,6623 ,미국,미국,,"(주)레드아이스 엔터테인먼트,(주)제이앤씨미디어그룹",15세이상관람가,액션,가이 리치,"제이슨 스타뎀,휴 그랜트,조쉬 하트넷,캐리 엘위스,오브리 플라자"
35,도그맨,2024-01-24,435005149 ,0.10%,435005149 ,46705 ,46705 ,496 ,7339 ,프랑스,프랑스,,(주)레드아이스 엔터테인먼트,15세이상관람가,드라마,뤽 베송,"케일럽 랜드리 존스,조조 T. 깁스"
3276,타샤 튜더,2018-09-13,468000 ,0.00%,368810850 ,78 ,46630 ,1 ,2 ,일본,일본,,(주)마노엔터테인먼트,전체관람가,다큐멘터리,마츠타니 미츠에,
3111,작은 연못,2010-04-15,736000 ,0.00%,313116500 ,92 ,46520 ,1 ,1 ,한국,한국,유한회사 제이필름,,15세이상관람가,"드라마,전쟁",이상우,"문성근,조혜진,김민재,전혜진,김뢰하,강신일,박광정,민복기,김승욱,신명철,이대연,강경희,유해진,김동화,조미라,최지원,박정주,방승혁,김남진,채원석,민경민,민정기,김서연,이지원,최서현,임금희,윤영민,정민주,임오섭,이성희,이시현,김지호,김지현,이태훈,임산,민성욱,정석용,최덕문,황영희,최종률,김정영,박명신,이승비,김가영,류제승"
996,귀멸의 칼날: 나타구모산 편,2021-11-17,13309100 ,0.00%,432157770 ,1469 ,44900 ,15 ,106 ,일본,일본,,(주)박수엔터테인먼트,15세이상관람가,애니메이션,소토자키 하루오,"하나에 나츠키,키토 아카리,시모노 히로,마츠오카 요시츠구"
250,더 와일드: 야수들의 전쟁,2023-11-15,384063300 ,0.00%,384063300 ,44540 ,44540 ,239 ,5458 ,한국,한국,"(주)아센디오,(주)제이앤씨미디어그룹","TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹,(주)아센디오",청소년관람불가,"액션,범죄",김봉한,"박성웅,오대환,오달수,주석태,서지혜,강현아,라윤"
1347,아일라,2018-06-21,3527000 ,0.00%,336162900 ,671 ,44516 ,1 ,18 ,터키,터키,,(주)영화사 빅,15세이상관람가,"드라마,전쟁",칸 울카이,"김설,이스마일 하지오글루"
5861,하이큐!! 재능과 센스,2017-11-15,16000 ,0.00%,315704500 ,2 ,44308 ,1 ,2 ,일본,일본,,"(주)이놀미디어,(주)이수C&E",12세이상관람가,애니메이션,미츠나카 스스무,
36,랜드 오브 배드,2024-03-13,378632312 ,0.10%,378632312 ,44252 ,44252 ,394 ,6668 ,미국,미국,,메가박스중앙(주),15세이상관람가,"액션,전쟁",윌리엄 유뱅크,"러셀 크로우,리암 헴스워스,루크 헴스워스,마일로 벤티밀리아"
251,루이스 웨인: 사랑을 그린 고양이 화가,2022-04-06,414715110 ,0.00%,414715110 ,44162 ,44162 ,530 ,9926 ,미국,미국,,(주)씨제이이엔엠,12세이상관람가,"드라마,멜로/로맨스",,"베네딕트 컴버배치,클레어 포이,올리비아 콜맨,토비 존스,안드레아 라이즈보로,스테이시 마틴,타이카 와이티티"
4497,그레이트 뷰티,2014-06-12,240000 ,0.00%,335411373 ,20 ,43565 ,1 ,2 ,이탈리아,"이탈리아,프랑스",,(주)영화사 진진,청소년관람불가,드라마,파올로 소렌티노,토니 세르빌로
1538,몽상가들,2005-03-25,4906500 ,0.00%,303698704 ,522 ,43427 ,1 ,31 ,프랑스,프랑스,더 레코디드 픽쳐 프로덕션,"찬란,오드",18세관람가,"드라마,멜로/로맨스",베르나르도 베르톨루치,"에바 그린,마이클 피트,루이 가렐,로빈 레누치,안나 챈셀러"
1759,하이큐!! 땅 VS 하늘,2020-01-23,3217424 ,0.00%,367074134 ,366 ,43351 ,5 ,33 ,일본,일본,,"(주)이놀미디어,(주)드림팩트엔터테인먼트,(주)삼백상회",전체관람가,애니메이션,미츠나카 스스무,"구자형,김영선,양정화,최승훈,남도형"
781,이별의 아침에 약속의 꽃을 장식하자,2018-07-19,16985200 ,0.00%,348982200 ,3111 ,42567 ,5 ,156 ,일본,일본,,(주)미디어캐슬,12세이상관람가,"애니메이션,판타지,드라마",오카다 마리,"이와미 마나카,이리노 미유"
3051,아네트,2021-10-27,872000 ,0.00%,362392130 ,98 ,42481 ,2 ,15 ,프랑스,프랑스,,"그린나래미디어(주),주식회사 왓챠",15세이상관람가,"드라마,뮤지컬,멜로/로맨스",레오스 카락스,"아담 드라이버,마리옹 꼬띠아르"
2154,미션,1986-12-24,1732101 ,0.00%,174051849 ,214 ,42425 ,1 ,3 ,영국,영국,,"주식회사 더쿱,(주)피터팬픽쳐스","12세이상관람가,국민학생관람불가,15세이상관람가",드라마,롤랑 조페,"로버트 드 니로,제레미 아이언스,에이단 퀸"
252,"2022 영탁 단독 콘서트 ""탁쇼""",2023-06-28,1017054000 ,0.00%,1017054000 ,42384 ,42384 ,72 ,1578 ,한국,한국,씨제이 씨지브이(CJ CGV)(주),씨제이 씨지브이(CJ CGV)(주),전체관람가,"공연,다큐멘터리",송승연,
253,귀못,2022-10-19,358073700 ,0.00%,358073700 ,42342 ,42342 ,208 ,4441 ,한국,한국,"KBS,(주)아센디오",와이드 릴리즈(주),15세이상관람가,공포(호러),탁세웅,"박하나,허진,정영주,오은서,김주은,전영,구본웅,하시연,이광훈,조영미,박종현,사민경,차은재"
254,애프터 양,2022-06-01,407868300 ,0.00%,407868300 ,42147 ,42147 ,161 ,3374 ,미국,미국,,"(주)영화특별시에스엠씨,주식회사 왓챠",전체관람가,"드라마,SF",코고나다,콜린 파렐
4424,일일시호일,2019-01-17,154000 ,0.00%,332921019 ,22 ,42134 ,1 ,1 ,일본,일본,,(주)영화사 진진,12세이상관람가,드라마,오오모리 타츠시,"키키 키린,타베 미카코,쿠로키 하루"
255,나의 촛불,2022-02-10,405835950 ,0.00%,405835950 ,42123 ,42123 ,294 ,4337 ,한국,한국,주기자 유한회사,트윈플러스파트너스(주),전체관람가,다큐멘터리,"김의성,주진우","박영수,손석희,심상정,유시민,윤석열,추미애,고영태"
4387,후회하지 않아,2006-11-16,233000 ,0.00%,264939500 ,23 ,42052 ,1 ,1 ,한국,한국,청년필름(주),CJ ENM,18세관람가,"드라마,멜로/로맨스",이송희일,"이영훈,조현철,김동욱,김정화,정희태,송승민,김화영,나성천,박현민,허록,문정미,김상은,최기원,김일권,임범,최성원,오현수,이승원,이승철,최원석,오류미,양정화,양정석,이혜미,박미현,김남길,정승길"
1868,메기,2019-09-26,2831000 ,0.00%,354882168 ,314 ,41971 ,1 ,12 ,한국,한국,"국가인권위원회,2X9HD","(주)엣나인필름,CGV아트하우스",15세이상관람가,"미스터리,코미디",이옥섭,"이주영,문소리,구교환,천우희,박경혜,윤정재,박길수,김민서,안원진,동방우,권해효,김꽃비,오희준,박강섭,임수형,심달기,박종환,던밀스,이주영,이옥섭,유지영,이성례,정향춘,강원,김병수,이천희,임동민,이주영,홍석종,이하은,이찬희,이희웅,이희웅,강수민,권효진,권태원,김형주,나상조,방현용,장동식,오경주,오성택,윤지아,이영인,이옥섭,오대창,윤동혁,박종학,한태의,김기현,이준섭,박성은,최희연,김자준,최현지,고미혜,오경주,이은애,양정혁,양다니엘,김호,최연지,문유진,최현지,심달기,장성준,이효정,홍석주,홍석종,홍석희,김지민,이준섭,이겨울,원서영,임찬욱,김세윤,최경빈,장서현,나승현,임동민,이천희,김신정,황혜나,김성곤,김성곤,김영관,배은혜"
256,도티와 영원의 탑,2023-12-27,388161976 ,0.00%,388161976 ,41696 ,41696 ,370 ,2021 ,한국,한국,(주)샌드박스네트워크,(주)넥스트엔터테인먼트월드(NEW),전체관람가,애니메이션,"배완,양희성,박인한","나희선,최예린,이민호,이민형,차재원,엄상현,이명호,방보용,정빈,김하영,김병선,임채빈,김도희,이주원,주백호,송훈,박도영,김근환,장은서,정서진,박현기,김시우,송희,김기운,하시안,서부건,조수아,김예은,권서준,이나영,조성하,최아림,강지민,공은빈,김성하,옥수진,유규선,천민규,한효경,정찬,박신후,김경륜,이지우,허은우,김경림,홍성빈,이영호,고연우,김로아,홍윤서,박채원,이지엘,이효린,이다은,최예원,하예은,하예설,임소여,오지수,손정민,이율주,남도형,신범식"
782,더 와이프,2019-02-27,147000 ,0.00%,320925451 ,15 ,41653 ,1 ,2 ,영국,영국,,(주)팝엔터테인먼트,15세이상관람가,드라마,비욘 룬게,"글렌 클로즈,조나단 프라이스,맥스 아이언스,크리스찬 슬레이터"
3140,더 와이프,2019-02-27,810000 ,0.00%,320778451 ,90 ,41638 ,1 ,1 ,영국,영국,,(주)팝엔터테인먼트,15세이상관람가,드라마,비욘 룬게,"글렌 클로즈,조나단 프라이스,맥스 아이언스,크리스찬 슬레이터"
78,극장판 아이돌리쉬 세븐; 라이브 4비트 비욘드 더 피리어드 - 데이 2,2023-10-19,112826007 ,0.00%,367123037 ,10881 ,41444 ,13 ,365 ,일본,일본,,메가박스중앙(주),전체관람가,애니메이션,니시키오리 히로시,"오노 켄쇼,하타노 와타루,호시 소이치로"
257,"어쩌다 공주, 닭냥이 왕자를 부탁해!",2022-09-08,387143280 ,0.00%,387143280 ,41140 ,41140 ,306 ,2377 ,프랑스,프랑스,,(주)팝엔터테인먼트,전체관람가,"애니메이션,판타지,어드벤처",줄리앙 프루네,
37,지오디 마스터피스 더 무비,2024-01-10,936338000 ,0.30%,936338000 ,41021 ,41021 ,75 ,1940 ,한국,한국,,씨제이 씨지브이(CJ CGV)(주),전체관람가,공연,손석,"박준형,윤계상,데니 안/ 안신원,손호영,김태우"
2404,킬빌,2003-11-21,1669000 ,0.00%,276731000 ,167 ,40977 ,1 ,13 ,미국,미국,,CJ ENM,18세관람가,액션,쿠엔틴 타란티노,"우마 서먼,루시 루"
1082,아무도 모른다,2005-04-01,12899700 ,0.00%,273242700 ,1185 ,40680 ,7 ,58 ,일본,일본,"반다이비쥬얼컴패니,(주)씨네콰논","(주)디스테이션,(주)동숭아트센터",전체관람가,드라마,고레에다 히로카즈,"키타우라 아유,야기라 유야"
258,나이트메어 앨리,2022-02-23,401511820 ,0.00%,401511820 ,40679 ,40679 ,461 ,6400 ,미국,미국,,월트디즈니컴퍼니코리아 유한책임회사,15세이상관람가,"범죄,드라마,스릴러",기예르모 델 토로,"브래들리 쿠퍼,케이트 블란쳇,토니 콜렛,윌렘 데포,리차드 젠킨스,루니 마라,론 펄먼,메리 스틴버겐,데이빗 스트라탄"
1373,4등,2016-04-13,5786000 ,0.00%,299461700 ,641 ,40346 ,1 ,8 ,한국,한국,"국가인권위원회,정지우 필름","(주)프레인글로벌,CGV아트하우스",15세이상관람가,드라마,정지우,"박해준,이항나,유재상,최무성,정가람,유재명,남문철,이혁찬,임유진,이상혁,이승준,최은미,권세정,오대환,권은수,강애심,이중옥,곽자형,김종태"
706,러브액츄얼리: 크리스마스 에디션,2013-12-18,266000 ,0.00%,310479397 ,26 ,40275 ,1 ,3 ,미국,"미국,영국",,(주)팝엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,리암 니슨,키이라 나이틀리,엠마 톰슨"
555,러브액츄얼리: 크리스마스 에디션,2013-12-18,60027750 ,0.00%,310213397 ,7508 ,40249 ,61 ,876 ,미국,"미국,영국",,(주)팝엔터테인먼트,청소년관람불가,"멜로/로맨스,드라마,코미디",리차드 커티스,"휴 그랜트,콜린 퍼스,리암 니슨,키이라 나이틀리,엠마 톰슨"
529,극장판 소드 아트 온라인 -프로그레시브- 별 없는 밤의 아리아,2021-12-09,83060600 ,0.00%,426629000 ,8219 ,40169 ,34 ,809 ,일본,일본,,(주)애니플러스,12세이상관람가,"애니메이션,액션,판타지",카와노 아야코,"마츠오카 요시츠구,토마츠 하루카,미나세 이노리"
3485,주전장,2019-07-25,630000 ,0.00%,310741090 ,63 ,40131 ,1 ,1 ,미국,미국,,(주)시네마달,전체관람가,다큐멘터리,미키 데자키,
1717,꽃다발 같은 사랑을 했다,2021-07-14,3490056 ,0.00%,378770866 ,394 ,39940 ,2 ,53 ,일본,일본,,"(주)미디어캐슬,(주)리틀빅픽쳐스,(주)레드로버",12세이상관람가,멜로/로맨스,도이 노부히로,"아리무라 카스미,스다 마사키"
422,말하는 건축가,2012-03-08,1266000 ,0.00%,312002700 ,123 ,39894 ,1 ,8 ,한국,한국,(주)두타연,"(주)두타연,(주)미디어데이",전체관람가,다큐멘터리,정재은,"정기용,승효상,유걸"
5221,말하는 건축가,2012-03-08,97000 ,0.00%,310736700 ,11 ,39771 ,1 ,2 ,한국,한국,(주)두타연,"(주)두타연,(주)미디어데이",전체관람가,다큐멘터리,정재은,"정기용,승효상,유걸"
2571,문라이즈 킹덤,2013-01-31,1342000 ,0.00%,312667500 ,141 ,39688 ,2 ,17 ,미국,미국,,(주)영화사 진진,15세이상관람가,"코미디,어드벤처,멜로/로맨스",웨스 앤더슨,"브루스 윌리스,에드워드 노튼,빌 머레이,프란시스 맥도먼드,틸다 스윈튼,자레드 길만,카라 헤이워드"
496,신데렐라 2: 마법에 걸린 왕자,2021-12-22,84516570 ,0.00%,344459120 ,9549 ,39401 ,190 ,917 ,미국,미국,,(주)박수엔터테인먼트,전체관람가,"애니메이션,판타지,어드벤처",앨리스 블레하트,"김보나,오은수,홍수정,서반석,석승훈,박상우"
4086,자유의 언덕,2014-09-04,204000 ,0.00%,319010827 ,34 ,39369 ,1 ,1 ,한국,한국,(주)영화제작전원사,"(주)영화제작전원사 ,(주)영화사 조제",청소년관람불가,드라마,홍상수,"카세 료,문소리,서영화,윤여정,정용진,이민우,기주봉,김의성,정은채"
259,"바다 탐험대 옥토넛 어보브 앤 비욘드: 버드, 옥토경보를 울려라!",2023-12-27,319879760 ,0.00%,319879760 ,38823 ,38823 ,215 ,1663 ,영국,영국,,와이드 릴리즈(주),전체관람가,애니메이션,,
260,오토라는 남자,2023-03-29,345305730 ,0.00%,345305730 ,38645 ,38645 ,371 ,5893 ,미국,미국,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,12세이상관람가,드라마,마크 포스터,톰 행크스
38,밥 말리: 원 러브,2024-03-13,350834494 ,0.10%,350834494 ,38585 ,38585 ,579 ,7383 ,미국,미국,,롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,드라마,레이날도 마커스 그린,"킹슬리 벤-어디어,라샤냐 린치,제임스 노턴"
261,틴에이지 크라켄 루비,2023-07-25,297448950 ,0.00%,297448950 ,38547 ,38547 ,203 ,3723 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),전체관람가,애니메이션,커크 드 미코,
4387,다시 태어나도 우리,2017-09-27,161000 ,0.00%,296812443 ,23 ,38396 ,1 ,1 ,한국,한국,"소나무필름,(주)프로섬",(주)엣나인필름,전체관람가,다큐멘터리,"문창용,전진",
118,너와 나,2023-10-25,43555329 ,0.00%,371154293 ,4547 ,38166 ,18 ,452 ,한국,한국,주식회사 필름영,"주식회사 필름영,그린나래미디어(주)",12세이상관람가,드라마,조현철,"박혜수,김시은"
262,TAR 타르,2023-02-22,380936984 ,0.00%,380936984 ,38090 ,38090 ,197 ,3173 ,미국,미국,,유니버설픽쳐스인터내셔널 코리아(유),15세이상관람가,드라마,토드 필드,"케이트 블란쳇,노에미 멜랑,니나 호스"
110,뿌까의 짜장면파티,2022-07-04,30604000 ,0.00%,228011500 ,5098 ,37823 ,10 ,112 ,한국,한국,(주)에픽캔,(주)에픽캔,전체관람가,기타,박상용,"유진주,임종웅,이은정,박중언,김기영,임재홍,신지윤,김민아,이지현,김은미,엄상현"
3317,아이,2021-02-10,525000 ,0.00%,298375920 ,75 ,37767 ,1 ,3 ,한국,한국,"(주)엠씨엠씨,(주)무비락",롯데컬처웍스(주)롯데엔터테인먼트,15세이상관람가,드라마,김현탁,"김향기,류현경,염혜란,이수빈,김현목,박옥출,이연경,정수지,윤정훈,석보배,임정은,박주하,박지영,이지봄,류이정,유시아,임한나,정원상,정지안,이혜원,박희은,곡성진,김제형,소규섭,박수언,박수미,최희윤,방예슬,현혜진"
2104,다키스트 아워,2018-01-17,2300000 ,0.00%,285777800 ,230 ,37750 ,1 ,2 ,영국,영국,,유니버설픽쳐스인터내셔널 코리아(유),12세이상관람가,"드라마,전쟁",조 라이트,"게리 올드만,크리스틴 스콧 토마스,릴리 제임스,벤 멘델슨,스티븐 딜레인"
263,플레인,2023-03-15,345665658 ,0.00%,345665658 ,37691 ,37691 ,358 ,5405 ,미국,미국,,(주)누리픽쳐스,15세이상관람가,"액션,스릴러",장-프랑소와 리셰,"제라드 버틀러,마이크 콜터"
2633,애프터: 그 후,2020-10-07,1127000 ,0.00%,309611040 ,131 ,37485 ,18 ,48 ,미국,미국,,판씨네마(주),15세이상관람가,"멜로/로맨스,드라마",로저 컴블,"히어로 파인즈 티핀,조세핀 랭포드,딜런 스프라우즈"
2064,한여름의 판타지아,2015-06-11,1481000 ,0.00%,290377458 ,241 ,37424 ,1 ,16 ,한국,"한국,일본",(주)모쿠슈라,㈜인디스토리,전체관람가,드라마,장건재,"김새벽,이와세 료,임형국"
39,덤 머니,2024-01-17,346332609 ,0.10%,346814109 ,37214 ,37262 ,465 ,5958 ,미국,미국,,"그린나래미디어(주),(주)플레이그램",15세이상관람가,"코미디,드라마",크레이그 질레스피,"폴 다노,세스 로건,아메리카 페레라,쉐일린 우들리"
1988,마스터,2013-07-11,2256000 ,0.00%,285551800 ,267 ,37237 ,3 ,43 ,미국,미국,,(주)영화사 진진,청소년관람불가,드라마,폴 토마스 앤더슨,"호와킨 피닉스,필립 세이모어 호프만,에이미 아담스"
272,"미안해요, 리키",2019-12-19,3807400 ,0.00%,295339980 ,371 ,37221 ,8 ,51 ,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,"크리스 히친,데비 허니우드,데이브 터너"
5132,더 헌트,2013-01-24,39300 ,0.00%,279067300 ,13 ,37021 ,1 ,1 ,덴마크,덴마크,,"(주)엣나인필름,씨너스엔터테인먼트(주)",15세이상관람가,드라마,토마스 빈터베르그,"매즈 미켈슨,토마스 보 라센,알렉산드라 라파포르,앤 루이스 하싱"
265,민스미트 작전,2022-05-11,346200480 ,0.00%,346200480 ,36984 ,36984 ,459 ,6632 ,미국,미국,,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",12세이상관람가,"드라마,전쟁",존 매든,"콜린 퍼스,매튜 맥퍼딘,켈리 맥도날드"
266,크레센도,2023-12-20,395095300 ,0.00%,395095300 ,36911 ,36911 ,91 ,1358 ,미국,미국,,오드,전체관람가,다큐멘터리,헤더 윌크,
1988,오직 사랑하는 이들만이 살아남는다,2014-01-09,2574000 ,0.00%,281412343 ,267 ,36888 ,1 ,11 ,영국,"영국,독일,미국,프랑스",,찬란,15세이상관람가,"드라마,멜로/로맨스",짐 자무시,"톰 히들스턴,틸다 스윈튼,미아 와시코브스카,존 허트,안톤 옐친"
2185,"미안해요, 리키",2019-12-19,1670000 ,0.00%,291532580 ,208 ,36850 ,1 ,2 ,프랑스,프랑스,,(주)영화사 진진,12세이상관람가,드라마,켄 로치,"크리스 히친,데비 허니우드,데이브 터너"
